Task_id,Task_name,Description,Assigned_to,Progress,Priority,Completion_time,Deadline,User_sentiment,Processed_description,Desc_word_count,Processed_token_count
T1017,Task 003 of Office Building Renovation Project 006,"Task 003 involves critical work for the Office Building Renovation Project 006. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2025-02-20. Current user sentiment is 'overwhelmed', which may impact performance.",Charlie,0.07,High,40,2025-02-20,Overwhelmed,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1018,Task 001 of Apartment Complex Development Project 007,"Task 001 involves critical work for the Apartment Complex Development Project 007. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-11-17. Current user sentiment is 'hopeful', which may impact performance.",Ivy,0.62,High,32,2024-11-17,Hopeful,task involve critical work apartment complex development project task high priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1019,Task 002 of Apartment Complex Development Project 007,"Task 002 involves critical work for the Apartment Complex Development Project 007. This task has a medium priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-11-29. Current user sentiment is 'content', which may impact performance.",Grace,0.85,Medium,25,2024-11-29,Content,task involve critical work apartment complex development project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
T1020,Task 003 of Apartment Complex Development Project 007,"Task 003 involves critical work for the Apartment Complex Development Project 007. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-11-17. Current user sentiment is 'satisfied', which may impact performance.",Ivy,0.92,Low,10,2024-11-17,Satisfied,task involve critical work apartment complex development project task low priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,24
T1021,Task 001 of Commercial Center Construction Project 008,"Task 001 involves critical work for the Commercial Center Construction Project 008. This task has a medium priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2024-09-13. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.59,Medium,17,2024-09-13,Hopeful,task involve critical work commercial center construction project task medium priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1022,Task 002 of Commercial Center Construction Project 008,"Task 002 involves critical work for the Commercial Center Construction Project 008. This task has a low priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2024-11-05. Current user sentiment is 'anxious', which may impact performance.",Charlie,0.26,Low,21,2024-11-05,Anxious,task involve critical work commercial center construction project task low priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,44,24
T1023,Task 003 of Commercial Center Construction Project 008,"Task 003 involves critical work for the Commercial Center Construction Project 008. This task has a high priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-10-19. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.45,High,7,2024-10-19,Neutral,task involve critical work commercial center construction project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1024,Task 001 of Highway Reconstruction Project 009,"Task 001 involves critical work for the Highway Reconstruction Project 009. This task has a high priority and is expected to be completed in approximately 35 hours. The deadline for this task is 2025-04-28. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.36,High,35,2025-04-28,Cautious,task involve critical work highway reconstruction project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,43,23
T1025,Task 002 of Highway Reconstruction Project 009,"Task 002 involves critical work for the Highway Reconstruction Project 009. This task has a medium priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2025-06-01. Current user sentiment is 'satisfied', which may impact performance.",Ivy,0.88,Medium,2,2025-06-01,Satisfied,task involve critical work highway reconstruction project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,43,23
T1026,Task 003 of Highway Reconstruction Project 009,"Task 003 involves critical work for the Highway Reconstruction Project 009. This task has a low priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2025-05-26. Current user sentiment is 'content', which may impact performance.",Charlie,0.97,Low,26,2025-05-26,Content,task involve critical work highway reconstruction project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1027,Task 001 of Airport Expansion Project 010,"Task 001 involves critical work for the Airport Expansion Project 010. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-06-15. Current user sentiment is 'anxious', which may impact performance.",Grace,0.1,High,32,2024-06-15,Anxious,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,43,23
T1028,Task 002 of Airport Expansion Project 010,"Task 002 involves critical work for the Airport Expansion Project 010. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-06-08. Current user sentiment is 'focused', which may impact performance.",Alice,0.7,High,16,2024-06-08,Focused,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,43,23
T1029,Task 003 of Airport Expansion Project 010,"Task 003 involves critical work for the Airport Expansion Project 010. This task has a low priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-05-26. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.6,Low,11,2024-05-26,Hopeful,task involve critical work airport expansion project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,43,23
T1030,Task 001 of Shopping Mall Renovation Project 011,"Task 001 involves critical work for the Shopping Mall Renovation Project 011. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-07-28. Current user sentiment is 'cautious', which may impact performance.",Eve,0.64,High,15,2024-07-28,Cautious,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1031,Task 002 of Shopping Mall Renovation Project 011,"Task 002 involves critical work for the Shopping Mall Renovation Project 011. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-08-19. Current user sentiment is 'cautious', which may impact performance.",Eve,0.44,High,40,2024-08-19,Cautious,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1032,Task 003 of Shopping Mall Renovation Project 011,"Task 003 involves critical work for the Shopping Mall Renovation Project 011. This task has a high priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-08-01. Current user sentiment is 'overwhelmed', which may impact performance.",Alice,0.02,High,1,2024-08-01,Overwhelmed,task involve critical work shopping mall renovation project task high priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1033,Task 001 of University Dormitory Construction Project 012,"Task 001 involves critical work for the University Dormitory Construction Project 012. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-02-29. Current user sentiment is 'relieved', which may impact performance.",Frank,1.0,High,15,2024-02-29,Relieved,task involve critical work university dormitory construction project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1034,Task 002 of University Dormitory Construction Project 012,"Task 002 involves critical work for the University Dormitory Construction Project 012. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-02-29. Current user sentiment is 'relieved', which may impact performance.",Bob,1.0,High,40,2024-02-29,Relieved,task involve critical work university dormitory construction project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1035,Task 003 of University Dormitory Construction Project 012,"Task 003 involves critical work for the University Dormitory Construction Project 012. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2025-06-27. Current user sentiment is 'satisfied', which may impact performance.",Alice,0.98,Medium,18,2025-06-27,Satisfied,task involve critical work university dormitory construction project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,24
T1036,Task 001 of Sports Stadium Upgrade Project 013,"Task 001 involves critical work for the Sports Stadium Upgrade Project 013. This task has a medium priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2024-08-24. Current user sentiment is 'satisfied', which may impact performance.",Alice,1.0,Medium,12,2024-08-24,Satisfied,task involve critical work sport stadium upgrade project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,24
T1037,Task 002 of Sports Stadium Upgrade Project 013,"Task 002 involves critical work for the Sports Stadium Upgrade Project 013. This task has a medium priority and is expected to be completed in approximately 38 hours. The deadline for this task is 2024-07-06. Current user sentiment is 'frustrated', which may impact performance.",Bob,0.28,Medium,38,2024-07-06,Frustrated,task involve critical work sport stadium upgrade project task medium priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,44,24
T1038,Task 003 of Sports Stadium Upgrade Project 013,"Task 003 involves critical work for the Sports Stadium Upgrade Project 013. This task has a medium priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-07-28. Current user sentiment is 'neutral', which may impact performance.",Alice,0.55,Medium,6,2024-07-28,Neutral,task involve critical work sport stadium upgrade project task medium priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1039,Task 001 of Public Library Renovation Project 014,"Task 001 involves critical work for the Public Library Renovation Project 014. This task has a low priority and is expected to be completed in approximately 31 hours. The deadline for this task is 2024-12-20. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.1,Low,31,2024-12-20,Overwhelmed,task involve critical work public library renovation project task low priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1040,Task 002 of Public Library Renovation Project 014,"Task 002 involves critical work for the Public Library Renovation Project 014. This task has a low priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2025-01-30. Current user sentiment is 'content', which may impact performance.",Charlie,0.82,Low,8,2025-01-30,Content,task involve critical work public library renovation project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,44,24
T1041,Task 003 of Public Library Renovation Project 014,"Task 003 involves critical work for the Public Library Renovation Project 014. This task has a medium priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-12-29. Current user sentiment is 'anxious', which may impact performance.",Charlie,0.22,Medium,6,2024-12-29,Anxious,task involve critical work public library renovation project task medium priority expect complete approximately hour deadline task current user sentiment anxious may impact performance,44,24
T1042,Task 001 of Building a Park Project 015,"Task 001 involves critical work for the Building a Park Project 015. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'relieved', which may impact performance.",Ivy,1.0,High,8,2024-04-19,Relieved,task involve critical work building park project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,23
T1043,Task 002 of Building a Park Project 015,"Task 002 involves critical work for the Building a Park Project 015. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'satisfied', which may impact performance.",Charlie,1.0,Medium,4,2024-04-19,Satisfied,task involve critical work building park project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,44,23
T1044,Task 003 of Building a Park Project 015,"Task 003 involves critical work for the Building a Park Project 015. This task has a high priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'focused', which may impact performance.",Bob,1.0,High,22,2024-04-19,Focused,task involve critical work building park project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,23
T1045,Task 001 of Renovation of a School Project 016,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Bob,1.0,Medium,5,2024-09-25,Content,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1046,Task 002 of Renovation of a School Project 016,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2024-10-22. Current user sentiment is 'neutral', which may impact performance.",Eve,0.38,High,27,2024-10-22,Neutral,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1047,Task 003 of Renovation of a School Project 016,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-09-15. Current user sentiment is 'neutral', which may impact performance.",Eve,0.55,Medium,25,2024-09-15,Neutral,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1048,Task 001 of Innovation of a Classroom Project 017,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-10-25. Current user sentiment is 'content', which may impact performance.",Eve,0.87,Low,40,2024-10-25,Content,task involve critical work general project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,40,22
T1049,Task 002 of Innovation of a Classroom Project 017,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-09-23. Current user sentiment is 'relieved', which may impact performance.",Charlie,1.0,High,34,2024-09-23,Relieved,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,40,22
T1050,Task 003 of Innovation of a Classroom Project 017,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-10-14. Current user sentiment is 'neutral', which may impact performance.",Alice,0.62,High,18,2024-10-14,Neutral,task involve critical work general project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1051,Task 001 of Construction of a Hospital Wing Project 018,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-03-05. Current user sentiment is 'neutral', which may impact performance.",Grace,0.66,Medium,26,2024-03-05,Neutral,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1052,Task 002 of Construction of a Hospital Wing Project 018,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 37 hours. The deadline for this task is 2024-03-01. Current user sentiment is 'neutral', which may impact performance.",Grace,0.54,Medium,37,2024-03-01,Neutral,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,40,22
T1053,Task 003 of Construction of a Hospital Wing Project 018,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-02-25. Current user sentiment is 'frustrated', which may impact performance.",Grace,0.2,Medium,7,2024-02-25,Frustrated,task involve critical work general project task medium priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,40,22
T1054,Task 001 of Road Expansion Project 019,"Task 001 involves critical work for the Road Expansion Project 019. This task has a high priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-12-30. Current user sentiment is 'neutral', which may impact performance.",Grace,0.61,High,11,2024-12-30,Neutral,task involve critical work road expansion project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,43,23
T1055,Task 002 of Road Expansion Project 019,"Task 002 involves critical work for the Road Expansion Project 019. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Ivy,1.0,Medium,1,2024-09-25,Content,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1056,Task 003 of Road Expansion Project 019,"Task 003 involves critical work for the Road Expansion Project 019. This task has a medium priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-12-24. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.46,Medium,13,2024-12-24,Cautious,task involve critical work road expansion project task medium priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,43,23
T1057,Task 001 of Bridge Maintenance Project 020,"Task 001 involves critical work for the Bridge Maintenance Project 020. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-07-03. Current user sentiment is 'satisfied', which may impact performance.",Eve,1.0,Medium,18,2024-07-03,Satisfied,task involve critical work bridge maintenance project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,43,23
T1058,Task 002 of Bridge Maintenance Project 020,"Task 002 involves critical work for the Bridge Maintenance Project 020. This task has a high priority and is expected to be completed in approximately 36 hours. The deadline for this task is 2024-08-02. Current user sentiment is 'focused', which may impact performance.",Grace,0.84,High,36,2024-08-02,Focused,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,43,23
T1059,Task 003 of Bridge Maintenance Project 020,"Task 003 involves critical work for the Bridge Maintenance Project 020. This task has a high priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-07-02. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.11,High,24,2024-07-02,Overwhelmed,task involve critical work bridge maintenance project task high priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,43,23
T1060,Task 001 of Office Building Renovation Project 021,"Task 001 involves critical work for the Office Building Renovation Project 021. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-12-15. Current user sentiment is 'neutral', which may impact performance.",Alice,0.43,High,26,2024-12-15,Neutral,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,44,24
T1061,Task 002 of Office Building Renovation Project 021,"Task 002 involves critical work for the Office Building Renovation Project 021. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",Frank,1.0,High,21,2024-09-25,Relieved,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1062,Task 003 of Office Building Renovation Project 021,"Task 003 involves critical work for the Office Building Renovation Project 021. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-09-20. Current user sentiment is 'relieved', which may impact performance.",Ivy,1.0,High,15,2024-09-20,Relieved,task involve critical work office building renovation project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,44,24
T1063,Task 001 of Apartment Complex Development Project 022,"Task 001 involves critical work for the Apartment Complex Development Project 022. This task has a high priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-04-11. Current user sentiment is 'cautious', which may impact performance.",Ivy,0.68,High,6,2024-04-11,Cautious,task involve critical work apartment complex development project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1064,Task 002 of Apartment Complex Development Project 022,"Task 002 involves critical work for the Apartment Complex Development Project 022. This task has a medium priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-04-28. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.28,Medium,7,2024-04-28,Overwhelmed,task involve critical work apartment complex development project task medium priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1065,Task 003 of Apartment Complex Development Project 022,"Task 003 involves critical work for the Apartment Complex Development Project 022. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-04-24. Current user sentiment is 'focused', which may impact performance.",Ivy,0.77,High,18,2024-04-24,Focused,task involve critical work apartment complex development project task high priority expect complete approximately hour deadline task current user sentiment focused may impact performance,44,24
T1066,Task 001 of Commercial Center Construction Project 023,"Task 001 involves critical work for the Commercial Center Construction Project 023. This task has a high priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2024-05-18. Current user sentiment is 'cautious', which may impact performance.",Alice,0.45,High,17,2024-05-18,Cautious,task involve critical work commercial center construction project task high priority expect complete approximately hour deadline task current user sentiment cautious may impact performance,44,24
T1067,Task 002 of Commercial Center Construction Project 023,"Task 002 involves critical work for the Commercial Center Construction Project 023. This task has a medium priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2024-06-01. Current user sentiment is 'overwhelmed', which may impact performance.",Charlie,0.02,Medium,27,2024-06-01,Overwhelmed,task involve critical work commercial center construction project task medium priority expect complete approximately hour deadline task current user sentiment overwhelmed may impact performance,44,24
T1068,Task 003 of Commercial Center Construction Project 023,"Task 003 involves critical work for the Commercial Center Construction Project 023. This task has a low priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2024-04-10. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.45,Low,19,2024-04-10,Hopeful,task involve critical work commercial center construction project task low priority expect complete approximately hour deadline task current user sentiment hopeful may impact performance,44,24
T1069,Task 001 of Highway Reconstruction Project 024,"Task 001 involves critical work for the Highway Reconstruction Project 024. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-08-29. Current user sentiment is 'frustrated', which may impact performance.",Charlie,0.05,Medium,1,2024-08-29,Frustrated,task involve critical work highway reconstruction project task medium priority expect complete approximately hour deadline task current user sentiment frustrated may impact performance,43,23
T1070,Task 002 of Highway Reconstruction Project 024,"Task 002 involves critical work for the Highway Reconstruction Project 024. This task has a low priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-09-04. Current user sentiment is 'content', which may impact performance.",Ivy,0.75,Low,1,2024-09-04,Content,task involve critical work highway reconstruction project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1071,Task 003 of Highway Reconstruction Project 024,"Task 003 involves critical work for the Highway Reconstruction Project 024. This task has a medium priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-09-01. Current user sentiment is 'satisfied', which may impact performance.",Eve,1.0,Medium,24,2024-09-01,Satisfied,task involve critical work highway reconstruction project task medium priority expect complete approximately hour deadline task current user sentiment satisfied may impact performance,43,23
T1072,Task 001 of Airport Expansion Project 025,"Task 001 involves critical work for the Airport Expansion Project 025. This task has a high priority and is expected to be completed in approximately 37 hours. The deadline for this task is 2024-07-20. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,37,2024-07-20,Relieved,task involve critical work airport expansion project task high priority expect complete approximately hour deadline task current user sentiment relieve may impact performance,43,23
T1073,Task 002 of Airport Expansion Project 025,"Task 002 involves critical work for the Airport Expansion Project 025. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-07-17. Current user sentiment is 'content', which may impact performance.",David,0.72,Low,10,2024-07-17,Content,task involve critical work airport expansion project task low priority expect complete approximately hour deadline task current user sentiment content may impact performance,43,23
T1074,Task 003 of Airport Expansion Project 025,"Task 003 involves critical work for the Airport Expansion Project 025. This task has a medium priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-07-03. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.5,Medium,16,2024-07-03,Neutral,task involve critical work airport expansion project task medium priority expect complete approximately hour deadline task current user sentiment neutral may impact performance,43,23
