Task_ID,Task_Name,Description,Assigned_To,Progress,Priority,Completion_Time,Deadline,User_Sentiment
T1010,Task 002 of Road Expansion Project 004,"Task 002 involves critical work for the Road Expansion Project 004. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-05-05. Current user sentiment is 'focused', which may impact performance.",Charlie,0.99,High,26,2024-05-05,Focused
T1011,Task 003 of Road Expansion Project 004,"Task 003 involves critical work for the Road Expansion Project 004. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-05-10. Current user sentiment is 'satisfied', which may impact performance.",Charlie,0.74,Medium,18,2024-05-10,Satisfied
T1012,Task 001 of Bridge Maintenance Project 005,"Task 001 involves critical work for the Bridge Maintenance Project 005. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2025-07-31. Current user sentiment is 'content', which may impact performance.",Charlie,0.78,Medium,18,2025-07-31,Content
T1013,Task 002 of Bridge Maintenance Project 005,"Task 002 involves critical work for the Bridge Maintenance Project 005. This task has a medium priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-08-02. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,7,2024-08-02,Content
T1014,Task 003 of Bridge Maintenance Project 005,"Task 003 involves critical work for the Bridge Maintenance Project 005. This task has a high priority and is expected to be completed in approximately 0 hours. The deadline for this task is 2025-06-30. Current user sentiment is 'anxious', which may impact performance.",Grace,0.04,High,0,2025-06-30,Anxious
T1015,Task 001 of Office Building Renovation Project 006,"Task 001 involves critical work for the Office Building Renovation Project 006. This task has a low priority and is expected to be completed in approximately 9 hours. The deadline for this task is 2024-09-11. Current user sentiment is 'content', which may impact performance.",Alice,1.0,Low,9,2024-09-11,Content
T1016,Task 002 of Office Building Renovation Project 006,"Task 002 involves critical work for the Office Building Renovation Project 006. This task has a medium priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-09-11. Current user sentiment is 'content', which may impact performance.",Frank,1.0,Medium,40,2024-09-11,Content
T1017,Task 003 of Office Building Renovation Project 006,"Task 003 involves critical work for the Office Building Renovation Project 006. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2025-02-20. Current user sentiment is 'overwhelmed', which may impact performance.",Charlie,0.07,High,40,2025-02-20,Overwhelmed
T1018,Task 001 of Apartment Complex Development Project 007,"Task 001 involves critical work for the Apartment Complex Development Project 007. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-11-17. Current user sentiment is 'hopeful', which may impact performance.",Ivy,0.62,High,32,2024-11-17,Hopeful
T1019,Task 002 of Apartment Complex Development Project 007,"Task 002 involves critical work for the Apartment Complex Development Project 007. This task has a medium priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-11-29. Current user sentiment is 'content', which may impact performance.",Grace,0.85,Medium,25,2024-11-29,Content
T1020,Task 003 of Apartment Complex Development Project 007,"Task 003 involves critical work for the Apartment Complex Development Project 007. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-11-17. Current user sentiment is 'satisfied', which may impact performance.",Ivy,0.92,Low,10,2024-11-17,Satisfied
T1021,Task 001 of Commercial Center Construction Project 008,"Task 001 involves critical work for the Commercial Center Construction Project 008. This task has a medium priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2024-09-13. Current user sentiment is 'hopeful', which may impact performance.",Alice,0.59,Medium,17,2024-09-13,Hopeful
T1022,Task 002 of Commercial Center Construction Project 008,"Task 002 involves critical work for the Commercial Center Construction Project 008. This task has a low priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2024-11-05. Current user sentiment is 'anxious', which may impact performance.",Charlie,0.26,Low,21,2024-11-05,Anxious
T1023,Task 003 of Commercial Center Construction Project 008,"Task 003 involves critical work for the Commercial Center Construction Project 008. This task has a high priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-10-19. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.45,High,7,2024-10-19,Neutral
T1024,Task 001 of Highway Reconstruction Project 009,"Task 001 involves critical work for the Highway Reconstruction Project 009. This task has a high priority and is expected to be completed in approximately 35 hours. The deadline for this task is 2025-04-28. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.36,High,35,2025-04-28,Cautious
T1025,Task 002 of Highway Reconstruction Project 009,"Task 002 involves critical work for the Highway Reconstruction Project 009. This task has a medium priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2025-06-01. Current user sentiment is 'satisfied', which may impact performance.",Ivy,0.88,Medium,2,2025-06-01,Satisfied
T1026,Task 003 of Highway Reconstruction Project 009,"Task 003 involves critical work for the Highway Reconstruction Project 009. This task has a low priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2025-05-26. Current user sentiment is 'content', which may impact performance.",Charlie,0.97,Low,26,2025-05-26,Content
T1027,Task 001 of Airport Expansion Project 010,"Task 001 involves critical work for the Airport Expansion Project 010. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-06-15. Current user sentiment is 'anxious', which may impact performance.",Grace,0.1,High,32,2024-06-15,Anxious
T1028,Task 002 of Airport Expansion Project 010,"Task 002 involves critical work for the Airport Expansion Project 010. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-06-08. Current user sentiment is 'focused', which may impact performance.",Alice,0.7,High,16,2024-06-08,Focused
T1029,Task 003 of Airport Expansion Project 010,"Task 003 involves critical work for the Airport Expansion Project 010. This task has a low priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-05-26. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.6,Low,11,2024-05-26,Hopeful
T1030,Task 001 of Shopping Mall Renovation Project 011,"Task 001 involves critical work for the Shopping Mall Renovation Project 011. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-07-28. Current user sentiment is 'cautious', which may impact performance.",Eve,0.64,High,15,2024-07-28,Cautious
T1031,Task 002 of Shopping Mall Renovation Project 011,"Task 002 involves critical work for the Shopping Mall Renovation Project 011. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-08-19. Current user sentiment is 'cautious', which may impact performance.",Eve,0.44,High,40,2024-08-19,Cautious
T1032,Task 003 of Shopping Mall Renovation Project 011,"Task 003 involves critical work for the Shopping Mall Renovation Project 011. This task has a high priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-08-01. Current user sentiment is 'overwhelmed', which may impact performance.",Alice,0.02,High,1,2024-08-01,Overwhelmed
T1033,Task 001 of University Dormitory Construction Project 012,"Task 001 involves critical work for the University Dormitory Construction Project 012. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-02-29. Current user sentiment is 'relieved', which may impact performance.",Frank,1.0,High,15,2024-02-29,Relieved
T1034,Task 002 of University Dormitory Construction Project 012,"Task 002 involves critical work for the University Dormitory Construction Project 012. This task has a high priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-02-29. Current user sentiment is 'relieved', which may impact performance.",Bob,1.0,High,40,2024-02-29,Relieved
T1035,Task 003 of University Dormitory Construction Project 012,"Task 003 involves critical work for the University Dormitory Construction Project 012. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2025-06-27. Current user sentiment is 'satisfied', which may impact performance.",Alice,0.98,Medium,18,2025-06-27,Satisfied
T1036,Task 001 of Sports Stadium Upgrade Project 013,"Task 001 involves critical work for the Sports Stadium Upgrade Project 013. This task has a medium priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2024-08-24. Current user sentiment is 'satisfied', which may impact performance.",Alice,1.0,Medium,12,2024-08-24,Satisfied
T1037,Task 002 of Sports Stadium Upgrade Project 013,"Task 002 involves critical work for the Sports Stadium Upgrade Project 013. This task has a medium priority and is expected to be completed in approximately 38 hours. The deadline for this task is 2024-07-06. Current user sentiment is 'frustrated', which may impact performance.",Bob,0.28,Medium,38,2024-07-06,Frustrated
T1038,Task 003 of Sports Stadium Upgrade Project 013,"Task 003 involves critical work for the Sports Stadium Upgrade Project 013. This task has a medium priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-07-28. Current user sentiment is 'neutral', which may impact performance.",Alice,0.55,Medium,6,2024-07-28,Neutral
T1039,Task 001 of Public Library Renovation Project 014,"Task 001 involves critical work for the Public Library Renovation Project 014. This task has a low priority and is expected to be completed in approximately 31 hours. The deadline for this task is 2024-12-20. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.1,Low,31,2024-12-20,Overwhelmed
T1040,Task 002 of Public Library Renovation Project 014,"Task 002 involves critical work for the Public Library Renovation Project 014. This task has a low priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2025-01-30. Current user sentiment is 'content', which may impact performance.",Charlie,0.82,Low,8,2025-01-30,Content
T1041,Task 003 of Public Library Renovation Project 014,"Task 003 involves critical work for the Public Library Renovation Project 014. This task has a medium priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-12-29. Current user sentiment is 'anxious', which may impact performance.",Charlie,0.22,Medium,6,2024-12-29,Anxious
T1042,Task 001 of Building a Park Project 015,"Task 001 involves critical work for the Building a Park Project 015. This task has a high priority and is expected to be completed in approximately 8 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'relieved', which may impact performance.",Ivy,1.0,High,8,2024-04-19,Relieved
T1043,Task 002 of Building a Park Project 015,"Task 002 involves critical work for the Building a Park Project 015. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'satisfied', which may impact performance.",Charlie,1.0,Medium,4,2024-04-19,Satisfied
T1044,Task 003 of Building a Park Project 015,"Task 003 involves critical work for the Building a Park Project 015. This task has a high priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2024-04-19. Current user sentiment is 'focused', which may impact performance.",Bob,1.0,High,22,2024-04-19,Focused
T1045,Task 001 of Renovation of a School Project 016,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Bob,1.0,Medium,5,2024-09-25,Content
T1046,Task 002 of Renovation of a School Project 016,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2024-10-22. Current user sentiment is 'neutral', which may impact performance.",Eve,0.38,High,27,2024-10-22,Neutral
T1047,Task 003 of Renovation of a School Project 016,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 25 hours. The deadline for this task is 2024-09-15. Current user sentiment is 'neutral', which may impact performance.",Eve,0.55,Medium,25,2024-09-15,Neutral
T1048,Task 001 of Innovation of a Classroom Project 017,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 40 hours. The deadline for this task is 2024-10-25. Current user sentiment is 'content', which may impact performance.",Eve,0.87,Low,40,2024-10-25,Content
T1049,Task 002 of Innovation of a Classroom Project 017,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-09-23. Current user sentiment is 'relieved', which may impact performance.",Charlie,1.0,High,34,2024-09-23,Relieved
T1050,Task 003 of Innovation of a Classroom Project 017,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-10-14. Current user sentiment is 'neutral', which may impact performance.",Alice,0.62,High,18,2024-10-14,Neutral
T1051,Task 001 of Construction of a Hospital Wing Project 018,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-03-05. Current user sentiment is 'neutral', which may impact performance.",Grace,0.66,Medium,26,2024-03-05,Neutral
T1052,Task 002 of Construction of a Hospital Wing Project 018,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 37 hours. The deadline for this task is 2024-03-01. Current user sentiment is 'neutral', which may impact performance.",Grace,0.54,Medium,37,2024-03-01,Neutral
T1053,Task 003 of Construction of a Hospital Wing Project 018,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-02-25. Current user sentiment is 'frustrated', which may impact performance.",Grace,0.2,Medium,7,2024-02-25,Frustrated
T1054,Task 001 of Road Expansion Project 019,"Task 001 involves critical work for the Road Expansion Project 019. This task has a high priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-12-30. Current user sentiment is 'neutral', which may impact performance.",Grace,0.61,High,11,2024-12-30,Neutral
T1055,Task 002 of Road Expansion Project 019,"Task 002 involves critical work for the Road Expansion Project 019. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",Ivy,1.0,Medium,1,2024-09-25,Content
T1056,Task 003 of Road Expansion Project 019,"Task 003 involves critical work for the Road Expansion Project 019. This task has a medium priority and is expected to be completed in approximately 13 hours. The deadline for this task is 2024-12-24. Current user sentiment is 'cautious', which may impact performance.",Charlie,0.46,Medium,13,2024-12-24,Cautious
T1057,Task 001 of Bridge Maintenance Project 020,"Task 001 involves critical work for the Bridge Maintenance Project 020. This task has a medium priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-07-03. Current user sentiment is 'satisfied', which may impact performance.",Eve,1.0,Medium,18,2024-07-03,Satisfied
T1058,Task 002 of Bridge Maintenance Project 020,"Task 002 involves critical work for the Bridge Maintenance Project 020. This task has a high priority and is expected to be completed in approximately 36 hours. The deadline for this task is 2024-08-02. Current user sentiment is 'focused', which may impact performance.",Grace,0.84,High,36,2024-08-02,Focused
T1059,Task 003 of Bridge Maintenance Project 020,"Task 003 involves critical work for the Bridge Maintenance Project 020. This task has a high priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-07-02. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.11,High,24,2024-07-02,Overwhelmed
T1060,Task 001 of Office Building Renovation Project 021,"Task 001 involves critical work for the Office Building Renovation Project 021. This task has a high priority and is expected to be completed in approximately 26 hours. The deadline for this task is 2024-12-15. Current user sentiment is 'neutral', which may impact performance.",Alice,0.43,High,26,2024-12-15,Neutral
T1061,Task 002 of Office Building Renovation Project 021,"Task 002 involves critical work for the Office Building Renovation Project 021. This task has a high priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'relieved', which may impact performance.",Frank,1.0,High,21,2024-09-25,Relieved
T1062,Task 003 of Office Building Renovation Project 021,"Task 003 involves critical work for the Office Building Renovation Project 021. This task has a high priority and is expected to be completed in approximately 15 hours. The deadline for this task is 2024-09-20. Current user sentiment is 'relieved', which may impact performance.",Ivy,1.0,High,15,2024-09-20,Relieved
T1063,Task 001 of Apartment Complex Development Project 022,"Task 001 involves critical work for the Apartment Complex Development Project 022. This task has a high priority and is expected to be completed in approximately 6 hours. The deadline for this task is 2024-04-11. Current user sentiment is 'cautious', which may impact performance.",Ivy,0.68,High,6,2024-04-11,Cautious
T1064,Task 002 of Apartment Complex Development Project 022,"Task 002 involves critical work for the Apartment Complex Development Project 022. This task has a medium priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2024-04-28. Current user sentiment is 'overwhelmed', which may impact performance.",Grace,0.28,Medium,7,2024-04-28,Overwhelmed
T1065,Task 003 of Apartment Complex Development Project 022,"Task 003 involves critical work for the Apartment Complex Development Project 022. This task has a high priority and is expected to be completed in approximately 18 hours. The deadline for this task is 2024-04-24. Current user sentiment is 'focused', which may impact performance.",Ivy,0.77,High,18,2024-04-24,Focused
T1066,Task 001 of Commercial Center Construction Project 023,"Task 001 involves critical work for the Commercial Center Construction Project 023. This task has a high priority and is expected to be completed in approximately 17 hours. The deadline for this task is 2024-05-18. Current user sentiment is 'cautious', which may impact performance.",Alice,0.45,High,17,2024-05-18,Cautious
T1067,Task 002 of Commercial Center Construction Project 023,"Task 002 involves critical work for the Commercial Center Construction Project 023. This task has a medium priority and is expected to be completed in approximately 27 hours. The deadline for this task is 2024-06-01. Current user sentiment is 'overwhelmed', which may impact performance.",Charlie,0.02,Medium,27,2024-06-01,Overwhelmed
T1068,Task 003 of Commercial Center Construction Project 023,"Task 003 involves critical work for the Commercial Center Construction Project 023. This task has a low priority and is expected to be completed in approximately 19 hours. The deadline for this task is 2024-04-10. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.45,Low,19,2024-04-10,Hopeful
T1069,Task 001 of Highway Reconstruction Project 024,"Task 001 involves critical work for the Highway Reconstruction Project 024. This task has a medium priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-08-29. Current user sentiment is 'frustrated', which may impact performance.",Charlie,0.05,Medium,1,2024-08-29,Frustrated
T1070,Task 002 of Highway Reconstruction Project 024,"Task 002 involves critical work for the Highway Reconstruction Project 024. This task has a low priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-09-04. Current user sentiment is 'content', which may impact performance.",Ivy,0.75,Low,1,2024-09-04,Content
T1071,Task 003 of Highway Reconstruction Project 024,"Task 003 involves critical work for the Highway Reconstruction Project 024. This task has a medium priority and is expected to be completed in approximately 24 hours. The deadline for this task is 2024-09-01. Current user sentiment is 'satisfied', which may impact performance.",Eve,1.0,Medium,24,2024-09-01,Satisfied
T1072,Task 001 of Airport Expansion Project 025,"Task 001 involves critical work for the Airport Expansion Project 025. This task has a high priority and is expected to be completed in approximately 37 hours. The deadline for this task is 2024-07-20. Current user sentiment is 'relieved', which may impact performance.",Alice,1.0,High,37,2024-07-20,Relieved
T1073,Task 002 of Airport Expansion Project 025,"Task 002 involves critical work for the Airport Expansion Project 025. This task has a low priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-07-17. Current user sentiment is 'content', which may impact performance.",David,0.72,Low,10,2024-07-17,Content
T1074,Task 003 of Airport Expansion Project 025,"Task 003 involves critical work for the Airport Expansion Project 025. This task has a medium priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-07-03. Current user sentiment is 'neutral', which may impact performance.",Charlie,0.5,Medium,16,2024-07-03,Neutral
T1075,Task 001 of Shopping Mall Renovation Project 026,"Task 001 involves critical work for the Shopping Mall Renovation Project 026. This task has a low priority and is expected to be completed in approximately 21 hours. The deadline for this task is 2025-04-30. Current user sentiment is 'anxious', which may impact performance.",Eve,0.1,Low,21,2025-04-30,Anxious
T1076,Task 002 of Shopping Mall Renovation Project 026,"Task 002 involves critical work for the Shopping Mall Renovation Project 026. This task has a medium priority and is expected to be completed in approximately 34 hours. The deadline for this task is 2024-08-10. Current user sentiment is 'content', which may impact performance.",Eve,1.0,Medium,34,2024-08-10,Content
T1077,Task 003 of Shopping Mall Renovation Project 026,"Task 003 involves critical work for the Shopping Mall Renovation Project 026. This task has a high priority and is expected to be completed in approximately 3 hours. The deadline for this task is 2025-04-06. Current user sentiment is 'relieved', which may impact performance.",Alice,0.82,High,3,2025-04-06,Relieved
T1078,Task 001 of University Dormitory Construction Project 027,"Task 001 involves critical work for the University Dormitory Construction Project 027. This task has a high priority and is expected to be completed in approximately 35 hours. The deadline for this task is 2024-12-28. Current user sentiment is 'focused', which may impact performance.",Frank,0.84,High,35,2024-12-28,Focused
T1079,Task 002 of University Dormitory Construction Project 027,"Task 002 involves critical work for the University Dormitory Construction Project 027. This task has a low priority and is expected to be completed in approximately 7 hours. The deadline for this task is 2025-03-22. Current user sentiment is 'satisfied', which may impact performance.",Bob,1.0,Low,7,2025-03-22,Satisfied
T1080,Task 003 of University Dormitory Construction Project 027,"Task 003 involves critical work for the University Dormitory Construction Project 027. This task has a medium priority and is expected to be completed in approximately 30 hours. The deadline for this task is 2025-01-19. Current user sentiment is 'frustrated', which may impact performance.",Alice,0.19,Medium,30,2025-01-19,Frustrated
T1081,Task 001 of Sports Stadium Upgrade Project 028,"Task 001 involves critical work for the Sports Stadium Upgrade Project 028. This task has a medium priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2025-01-19. Current user sentiment is 'cautious', which may impact performance.",Alice,0.31,Medium,22,2025-01-19,Cautious
T1082,Task 002 of Sports Stadium Upgrade Project 028,"Task 002 involves critical work for the Sports Stadium Upgrade Project 028. This task has a medium priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2025-05-28. Current user sentiment is 'satisfied', which may impact performance.",Bob,0.78,Medium,16,2025-05-28,Satisfied
T1083,Task 003 of Sports Stadium Upgrade Project 028,"Task 003 involves critical work for the Sports Stadium Upgrade Project 028. This task has a low priority and is expected to be completed in approximately 23 hours. The deadline for this task is 2025-01-16. Current user sentiment is 'satisfied', which may impact performance.",David,0.98,Low,23,2025-01-16,Satisfied
T1084,Task 001 of Public Library Renovation Project 029,"Task 001 involves critical work for the Public Library Renovation Project 029. This task has a low priority and is expected to be completed in approximately 33 hours. The deadline for this task is 2024-05-13. Current user sentiment is 'content', which may impact performance.",Grace,1.0,Low,33,2024-05-13,Content
T1085,Task 002 of Public Library Renovation Project 029,"Task 002 involves critical work for the Public Library Renovation Project 029. This task has a high priority and is expected to be completed in approximately 30 hours. The deadline for this task is 2024-12-21. Current user sentiment is 'anxious', which may impact performance.",Charlie,0.15,High,30,2024-12-21,Anxious
T1086,Task 003 of Public Library Renovation Project 029,"Task 003 involves critical work for the Public Library Renovation Project 029. This task has a high priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2025-01-23. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.4,High,22,2025-01-23,Hopeful
T1087,Task 001 of Building a Park Project 030,"Task 001 involves critical work for the Building a Park Project 030. This task has a high priority and is expected to be completed in approximately 33 hours. The deadline for this task is 2024-07-29. Current user sentiment is 'focused', which may impact performance.",Ivy,0.79,High,33,2024-07-29,Focused
T1088,Task 002 of Building a Park Project 030,"Task 002 involves critical work for the Building a Park Project 030. This task has a high priority and is expected to be completed in approximately 1 hours. The deadline for this task is 2024-07-29. Current user sentiment is 'anxious', which may impact performance.",Charlie,0.28,High,1,2024-07-29,Anxious
T1089,Task 003 of Building a Park Project 030,"Task 003 involves critical work for the Building a Park Project 030. This task has a high priority and is expected to be completed in approximately 16 hours. The deadline for this task is 2024-07-29. Current user sentiment is 'overwhelmed', which may impact performance.",Bob,0.07,High,16,2024-07-29,Overwhelmed
T1090,Task 001 of Renovation of a School Project 031,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 2 hours. The deadline for this task is 2024-06-09. Current user sentiment is 'neutral', which may impact performance.",Bob,0.45,High,2,2024-06-09,Neutral
T1091,Task 002 of Renovation of a School Project 031,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 11 hours. The deadline for this task is 2024-06-06. Current user sentiment is 'relieved', which may impact performance.",Eve,0.79,High,11,2024-06-06,Relieved
T1092,Task 003 of Renovation of a School Project 031,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 5 hours. The deadline for this task is 2024-06-03. Current user sentiment is 'content', which may impact performance.",Eve,1.0,Medium,5,2024-06-03,Content
T1093,Task 001 of Innovation of a Classroom Project 032,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 12 hours. The deadline for this task is 2025-02-26. Current user sentiment is 'hopeful', which may impact performance.",Eve,0.54,High,12,2025-02-26,Hopeful
T1094,Task 002 of Innovation of a Classroom Project 032,"Task involves critical work for the General Project. This task has a medium priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2025-04-16. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.39,Medium,4,2025-04-16,Hopeful
T1095,Task 003 of Innovation of a Classroom Project 032,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 33 hours. The deadline for this task is 2025-03-24. Current user sentiment is 'content', which may impact performance.",David,0.79,Low,33,2025-03-24,Content
T1096,Task 001 of Construction of a Hospital Wing Project 033,"Task involves critical work for the General Project. This task has a low priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-09-25. Current user sentiment is 'content', which may impact performance.",David,1.0,Low,4,2024-09-25,Content
T1097,Task 002 of Construction of a Hospital Wing Project 033,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 10 hours. The deadline for this task is 2024-10-18. Current user sentiment is 'relieved', which may impact performance.",Grace,0.71,High,10,2024-10-18,Relieved
T1098,Task 003 of Construction of a Hospital Wing Project 033,"Task involves critical work for the General Project. This task has a high priority and is expected to be completed in approximately 4 hours. The deadline for this task is 2024-09-23. Current user sentiment is 'relieved', which may impact performance.",David,1.0,High,4,2024-09-23,Relieved
T1099,Task 001 of Road Expansion Project 034,"Task 001 involves critical work for the Road Expansion Project 034. This task has a high priority and is expected to be completed in approximately 14 hours. The deadline for this task is 2024-09-01. Current user sentiment is 'hopeful', which may impact performance.",Grace,0.47,High,14,2024-09-01,Hopeful
T1100,Task 002 of Road Expansion Project 034,"Task 002 involves critical work for the Road Expansion Project 034. This task has a high priority and is expected to be completed in approximately 22 hours. The deadline for this task is 2024-08-17. Current user sentiment is 'focused', which may impact performance.",Ivy,1.0,High,22,2024-08-17,Focused
T1101,Task 003 of Road Expansion Project 034,"Task 003 involves critical work for the Road Expansion Project 034. This task has a high priority and is expected to be completed in approximately 32 hours. The deadline for this task is 2024-08-21. Current user sentiment is 'hopeful', which may impact performance.",Charlie,0.68,High,32,2024-08-21,Hopeful
